JobTitle,Company,Location,Salary,JobDescription,QualificationsSkills
Marketing Analyst,Prosper Marketplace,San Francisco,$101K-$125K,"We are seeking a data-driven and analytical Marketing Analyst to join our Marketing Analytics team. This role is essential in optimizing acquisition strategies across multiple channels, including search, email, and multi-channel campaigns, to drive growth and improve marketing efficiency.
The ideal candidate is highly analytical, has experience in lifecycle and digital marketing, and is passionate about using data to optimize targeting, segmentation, and conversion rates. This position offers the opportunity to work in a fast-paced, high-impact environment, collaborating with cross-functional teams to make data-driven decisions that scale acquisition efforts effectively.
As a key influencer in our marketing strategy, you will report to the Senior Manager, Marketing Analytics, work directly with senior leadership, and play an integral role in shaping and optimizing our marketing efforts. Analyze and Identify Growth Opportunities: Conduct deep-dive analyses to uncover insights that drive customer acquisition and engagement
Develop Strategic Test Designs: Create and implement A/B testing frameworks to evaluate new marketing initiatives and optimize campaign performance
Optimize Marketing Touch-points: Support Product and Marketing teams in designing the most effective cadence and sequence of customer interactions across various marketing channels
Monitor Key Performance Indicators: Build automated reports and dashboards to track marketing performance, customer behavior, and campaign effectiveness
Forecast and Plan for Business Growth: Use data-driven insights to support budgeting, forecasting, and strategic planning efforts
Collaborate Cross-Functionally: Partner with teams across marketing, product, risk, and data science to ensure alignment on strategic goals and execution","Education: Bachelor’s degree in a quantitative field (STEM: Science, Technology, Engineering, Mathematics); Master’s degree preferred
Experience: 2+ years of experience in lifecycle and digital marketing analytics, preferably within financial services or fintech
Strong SQL and Advanced Excel skills is required
Experience with Python or R is preferred 
Proficiency in data visualization tools such as Google Data Studio, Tableau, or similar platforms
Understanding of hypothesis testing, statistical analysis, and experimental design
Ability to analyze large datasets to derive actionable insights that drive marketing decisions
Strong storytelling and presentation skills, with the ability to communicate complex data insights to senior leadership
Ability to work independently, manage multiple projects simultaneously, and deliver results in a fast-paced environment"
Software Engineer,Nuro,Mountain View,$125K-$188K,"Our software organization is growing and we are looking for talented engineers to join our autonomy team. As an autonomy engineer, you will work on challenging problems alongside a world-class team with a common real passion for advancing robotics to improve the human experience. Solve real world autonomy problems in one or more of the following areas: 
Machine learning and computer vision, including;
Perception tasks like detection, segmentation, tracking, classification and prediction across camera, lidar, radar and thermal data
Behavior tasks like prediction and planning
Techniques that allow us to scale data training, produce robust models and deploy them on the robot including active learning, semi- and self- supervised learning, model compression and architecture search, generative modeling
Robotics including system architecture, state estimation, multi-object target tracking and 3D reconstruction
Tools and processes to evaluate our system to make sure it is safe for deployment
Design novel algorithms and produce robust, well-tested C++ software
Work fast and smart, and collaborate well with other awesome team members","You are a recent graduate or graduating soon (BS, MS or Phd) with focus on one or more of the areas listed above
You are a skilled algorithm designer with strong problem solving
You are a talented software developer ideally with experience in C++/Python
You have experience working with machine learning or autonomous systems
You have a knack and real passion for searching and solving hard problems
You are passionate about accelerating the benefits of robotics for everyday life"
Backend Engineer,AppLovin,Palo Alto,$119K-$179K,"As a member of our backend software engineering team, you’ll solve technical challenges, including upgrading and implementing state-of-the-art software infrastructure. The team builds a high-performance, high availability, globally distributed ecosystem platform of services that in turn provide the foundation for rapid development of novel new systems that integrate into that ecosystem and improve it
Our backend systems handle billions of requests per day, and work on our mediation platform responsible for our header bidding solution, creating high-availability low-latency systems that are distributed across multiple data centers.Design, develop, and maintain large-scale distributed systems
Collaborate with various engineering teams to meet a wide range of technological challenges
Work closely with our product team to contribute and influence the roadmap of our products and technologies
Influence and inspire team members","Have 0-2+ years of experience and a minimum of a BS and/or MS in Computer Science
Have excellent knowledge of computer science fundamentals including data structures, algorithms, and coding
Professional experience with C++ and/or Java is a plus 
Experience independently creating and maintaining projects"
Software Engineer,Cisco,San Jose,$98K-$125K,"Our software engineers are the gurus behind the scenes ensuring all of our programs are easy to use and bug free. Using a keen eye, you’ll develop software and tools in support of many of our high-impact technology platforms such as operating systems, networks, databases and more. While we’re growing in the software business, you’ll still need to see the big picture and watch for hardware compatibility while even potentially influencing design.","A software developer who demonstrates exceptional communication and collaboration abilities, coupled with a genuine enthusiasm for tackling complex challenges. The ideal candidate will exhibit outstanding organizational skills and a keen aptitude for managing their time efficiently.
As a process-driven individual, you will have a fervent desire to streamline and enhance existing procedures. Your adeptness in time management will empower you to effectively prioritize tasks and deliver high-quality work within set deadlines. Including but not limited to a graduate/upcoming graduate of a technical degree or certification program from a Technical Boot Camp, Apprenticeship, Community College or 4-year University. 
 Open to 0-3 years of relevant experience or recent graduate or those in the final year of a Bachelor's in Computer Science , Software Engineering, Computer Engineering, Electrical Engineering, a related program, or holders of equivalent academic certifications. 
 Up-to-date on programming and scripting languages: C/C++, Python, and/or Java 
 Hands on QA, Testing, and/or Debugging skills 
 Able to legally live and work in the country for which you’re applying, without visa support or sponsorship Knowledge of Linux, Networking concepts, OS fundamentals, Embedded Development, and/or ML 
 Experience with Databases, Web Application Development, and Web Services 
 Knowledge in Computer Networking and/or Cybersecurity 
 Knowledge of Cloud Platforms: AWS, Microsoft Azure, or Google Cloud"
Software Engineer,Notion,San Francisco,$130K-$238K,"Notion's Growth Engineers make our mission of software ubiquity a reality. Using experiments, creativity, and feature creation, this team accelerates the value of Notion to an ever growing audience of users. We are owners of the ins and outs of our business, using a blend of data, qualitative research, and product intuition to accelerate our impact at this critical time in our company’s journey. Deliver experiments end-to-end, from ideation to analysis, with velocity and quality to move core business metrics
Get to know the Notion customer to understand key points in the customer journey and uncover insights that will drive activation and engagement
Plan, shape, and build new features to create a more engaging and personalized early product experience for our customers","Shipping polished user interfaces: You can work with others to build and maintain quality user interfaces for a big audience. You have experience and are comfortable using Web technologies like HTML, CSS, JavaScript, and a modern UI framework like React. If you've experienced the technical challenges of rapid growth, that's a plus.
Data and experimentation: You have Growth Engineering experience at another company. You are comfortable iteratively testing product flows using A/B testing to understand customer behavior and make data-informed decisions.
Thoughtful problem-solving: For you, problem-solving starts with a clear and accurate understanding of the context. You can decompose tricky problems and work towards a clean solution, by yourself or with teammates. You're comfortable asking for help when you get stuck.
Pragmatism and impact-orientation: You care about business impact and prioritize projects accordingly. You're not just going after cool stuff—you understand the balance between craft, speed, and the bottom line.
Putting users first: You think critically about the implications of what you're building, and how it shapes real people's lives. You understand that reach comes with responsibility for our impact—good and bad.
Empathetic communication: You communicate nuanced ideas clearly, whether you're explaining technical decisions in writing or brainstorming in real time. In disagreements, you engage thoughtfully with other perspectives and compromise when needed.
Team player: For you, work isn't a solo endeavor. You enjoy collaborating cross-functionally to accomplish shared goals, and you care about learning, growing, and helping others to do the same."
AI Platform Engineer,Faire,San Francisco,$150K-$207K,"At Faire we build elegant and efficient products to deliver superior customer experiences and enhance marketplace efficiency at the same time. From the mobile checkout process, to personalized search ranking, to the intelligent underwriting engine that determines credit limits for retailers --- we use data, machine learning, and AI to constantly iterate and innovate our product offering to create more value for the ecosystem.
Faire is searching for a top-notch platform engineer to lead design and execution as we continue to build the AI Platform that will power our wholesale marketplace. This role will architect and build scalable, reliable systems to enable seamless software driven machine learning and AI deployment to improve Faire’s core metrics. Design and build highly scalable machine learning systems that the entire company will use. Examples of these include (but are not limited to)
“Machine-Learning-as-a-service”
Model Training / Finetuning framework
Feature store, including batch and real-time feature computation, serving, and monitoring 
Deep learning infrastructure that powers training and serving of Faire’s language and image models, including efficient LLM/LMM serving infrastructure
Model prediction services to manage model deployment, inference and monitoring
Partner with our internal customers to understand their ML/AI development pain points and craft platform solutions to address them
Provide technical mentorship to interns on the team","1+ years experience building production machine learning systems or platform components such as feature store, model training framework, ML prediction service, LLM/LMM serving infrastructure, LLM/LMM evaluation framework etc 
Degree in a relevant discipline such as Computer Science, Machine Learning, or another similar field
Strong coding skills in Python/Java or equivalent
Experience working within common backend system architectures (e.g. microservices) 
Good understanding of engineering and infrastructure best practices, general software development principles with a machine learning software development life-cycle orientation"
Software Development Engineer,Twitch,San Francisco,$99K-$200K,"Twitch's Enterprise Platform Engineering team develops and provides advanced data and integration services. We are looking for a Software Development Engineer who will be able to design, deploy, and manage cloud infrastructure, data infrastructure and applications on the Amazon Web Services (AWS) platform. With your peers, you’ll help maintain and enhance Twitch’s internally developed business applications and the glue that connects all of the systems together. You’ll leverage AWS infrastructure to integrate systems and design efficient data services. Build solutions on AWS using CDK to support internal systems
Design and build robust data pipelines to support business intelligence initiatives while ensuring data quality and governance
Manage configurations for enterprise applications
Create and maintain documentation around processes and workflows important to infrastructure and custom applications
Respond to operational issues and requests from internal customers
Work closely with development teams to integrate cloud solutions into existing applications and workflows","1+ years of programming experience in both of the following languages: Python, SQL.
1+ years of experience with several AWS Services and products
Experience automating administrative and configuration tasks
Good troubleshooting skills
Good understanding of Data Architecture
A basic understanding of infrastructure as code concepts
An interest in building, maintaining, and supporting high scale, business critical systems in a cloud environment Familiarity with AWS infrastructure
Experience with email / notifications technologies
Experience writing Go in production systems"
Software Engineer,LinkedIn,Mountain View,$99K-$163K,"At LinkedIn, our approach to flexible work is centered on trust and optimized for culture, connection, clarity, and the evolving needs of our business. The work location of this role is hybrid, meaning it will be performed both from home and from a LinkedIn office on select days, as determined by the business needs of the team. You will scale distributed applications, make architectural trade-offs applying synchronous and asynchronous design patterns, write code, and deliver with speediness and quality.
You will develop multi-tier scalable, high-volume performing, and reliable user-centric applications that operate 24x7.
You will produce high quality software that is unit tested, code reviewed, and checked in regularly for continuous integration.
You will provide technical leadership, driving and performing best engineering practices to initiate, plan, and execute large-scale, cross functional, and company-wide critical programs. Identify, leverage, and successfully evangelize opportunities to improve engineering productivity.","BA/BS in Computer Science or related technical field or equivalent practical experience
1+ years of industry experience in software design, development, and algorithm related solutions
Experience programming in languages such as Python, Java, Javascript, C/C++, C#, Objective-C, Ruby, etc. Experience in designing and building infrastructure and web services at large scale.
Expert knowledge of computer science, with strong competencies in data structures, algorithms, and software design.
Proven coding skills in Python or JavaScript/AJAX, database design and SQL, and/or knowledge of TCP/IP and network programming.
Experience building web applications and services with IDEs, ant, junit, etc.
Experience with relational databases (transactional and non-transactional), database architecture, and distributed transaction management."
Software Integration Engineer,Applied Intuition,Mountain View,$120K-$140K,"Applied Intuition is looking for software integration engineer who can champion the delivery of features in our newest product. This involves working across software and hardware to ensure that the full system is integrated together seamlessly when it needs to be delivered to the customer. Deliver full-system features that span software and hardware that meet customer requirements
Directly interact with the customers to identify the target use-cases, then manage the project to complete the integration
Work cross-functionally with the product, software, mechanical and electrical teams to develop and deploy systems
Develop a deep understanding of the entire system architecture and how the software and hardware components interact
Design and bring up test rigs needed for end-to-end testing and validation of system performance
Test and troubleshoot integration between various components to ensure reliability","BS/BA, MS, or PhD in Computer Engineering, Computer Science, or related degree
Software development experience in C/C++
An understanding of electronic systems and how how to setup and debug them Proven ability as a self-starter and can quickly become comfortable with new technical tools
Experience taking initiative in a fast-paced environment
Familiarity with developing software for embedded systems"
Product Manager,Snap Inc.,San Francisco,$178K-$313K,"Lead efforts in optimizing Snap Inc.’s web and app ecosystems for search engines and new search technologies. This role is critical to improving discoverability, driving organic growth, and connecting users to the rich content and features Snapchat offers. 
Define and own the vision, strategy, and roadmap for SEO initiatives across Snap’s web and app platforms to increase new user acquisition and retention. 
Define goals and own performance against key business metrics for growth, and proactively drive accountability towards those goals
Evolve continuously — constantly identify and size new opportunities to enhance Snapchat discoverability data insights, user research, and design thinking. 
Partner with engineering, design, content, and marketing teams to implement SEO best practices and align technical execution with user needs. 
Monitor industry trends, search algorithm updates, new technologies and competitor strategies to keep Snap’s search and discoverability practices at the cutting edge. 
Define key performance indicators (KPIs), track progress, and share results with stakeholders, driving alignment and prioritization across teams. 
Drive the team’s roadmaps and execution end-to-end — from planning processes to design to development and through launch, authoring excellent documentation and sharing insights and results throughout the company","Deep understanding of search engine optimization, including technical SEO, content strategy, and link-building. 
Experience with web and mobile app architecture optimization and its intersection with SEO. 
Proficiency in SEO tools such as Google Analytics, Google Search Console, and other industry-standard platforms. 
Highly impact-focused, with a demonstrated history of leading teams to deliver concrete results
Detail oriented leader who can dive deep into every project on the team’s roadmap when needed
Outstanding communication skills and extremely comfortable conveying complex topics to a diverse array of stakeholders
Ability to navigate a complex product area and gain buy-in from executives 
Extremely proactive with the ability to initiate and implement complex projects with minimal guidance
Ability to collaborate and build trust with engineers, designers, data science and other cross-functional teammates
Ability to think creatively and approach problems with system-level thinking Bachelor’s degree or equivalent years of experience
BS/BA degree or equivalent years of experience
5+ years of experience building and shipping products at a consumer or advertising technology company"
Finance Manager,Amazon,San Francisco,$85.9K - $179.5K,"Amazon.com is seeking a Finance Manager in the Financial Planning and Analysis team of the Amazon Music Finance team. In partnership with business, operations, and technology teams throughout Amazon, this position will lead the long-term financial strategy development and drive strategic initiatives to improve financial reporting and customer experience through automation, process improvements, and defects prevention. This role will engage with executive leadership and cross functional teams to drive results.","5+ years of tax, finance or a related analytical field experience
5+ years of multiple finance and accounting roles experience
4+ years of applying key financial performance indicators (KPIs) to analyses experience
4+ years of building financial and operational reports/data sets that inform business decision-making experience
Bachelor's degree in finance, accounting, business, economics, or a related analytical field (e.g., engineering, math, computer science)

"
Marketing Analytics Manager,Allbirds,San Francisco,$90K - $100K,"Analyze performance marketing channel data. Provide insights and recommendations for marketing team stakeholders and leadership
Build a reporting and results communication cadence utilizing common tools (Looker, Amplitude) that supports marketing stakeholders
Prepare results for key cross functional meetings including weekly and monthly business reviews
Participate in development of key campaign KPIs for multiple channels leading up to the launch of new products and initiatives
Leverage prior experience working across key media and CRM channels to provide insights and best practices based on data
Monitor and evaluate marketing campaigns and initiatives, providing insights for continuous improvement.
Create and maintain marketing dashboards, reports, and visualizations to track performance and communicate findings.
Utilize statistical analysis and modeling techniques to forecast market trends and customer behavior.
Collaborate with cross-functional teams, such as brand, digital marketing, channels, product, and finance, to align marketing analytics with overall business objectives. Etc.
Stay up-to-date with industry trends, emerging technologies, and best practices in marketing analytics.","Experience working and collaborating with marketing and finance teams
Bachelor’s degree in statistics, mathematics, science, computer science, business analytics or related quantitative focus
5+ years of professional experience in online marketing, e-commerce, or equivalent role within analytics preferred.
Expert in Microsoft Office/GSuite with experience in various analytics tools
Experience with Shop, Search, Social, Affiliate, CTV, Audio
Ability to effectively communicate results and data to the internal team and clients
Data driven with strong analytical and quantitative skills to identify and present opportunities and also measure success.
Experience working across key channels
Experience managing data flows, reporting systems and dashboards
Experience managing channel revenue thru multi-touch attribution (MTA) and/or mix market model (MMM) systems
Experience running and applying incrementality and hold-out tests
Experience working with platforms including or similar to Snowflake, Rudderstack, Looker, LiftLab
Primary experience with digital commerce business, but secondary experience with retail stores a plus
Passion for our mission of sustainability - Doing better things in a better way."
